gene_name,array,ns,sweden,tcga
AC004522_2,0,0,0,1
AC004528_1,0,0,0,1
AC004528_2,0,0,0,1
AC004534_1,0,0,0,1
AC004540_1,0,0,0,1
AC004540_2,0,0,0,1
AC004542_1,0,0,0,1
AC004542_2,0,0,0,1
AC004543_1,0,0,0,1
AC004551_1,0,0,0,1
AC004552_1,0,0,0,1
AC004554_1,0,0,0,1
AC004584_1,0,0,0,1
AC004584_2,0,0,0,1
AC004584_3,0,0,0,1
AC004585_1,0,0,0,1
AC004585_2,0,0,0,1
AC004590_1,0,0,0,1
AC004593_1,0,0,0,1
AC004594_1,0,0,0,1
AC004596_1,0,0,0,1
AC004597_1,0,0,0,1
AC004623_1,0,0,0,1
AC004637_1,0,0,0,1
AC004656_1,0,0,0,1
AC004672_1,0,0,0,1
AC004672_2,0,0,0,1
AC004674_1,0,0,0,1
AC004678_1,0,0,0,1
AC004678_2,0,0,0,1
AC004686_1,0,0,0,1
AC004687_1,0,0,0,1
AC004690_1,0,0,0,1
AC004690_2,0,0,0,1
AC004691_1,0,0,0,1
AC004691_2,0,0,0,1
AC004692_1,0,0,0,1
AC004692_2,0,0,0,1
AC004696_1,0,0,0,1
AC004696_2,0,0,0,1
AC004702_1,0,0,0,1
AC004704_1,0,0,0,1
AC004706_1,0,0,0,1
AC004706_2,0,0,0,1
AC004706_3,0,0,0,1
AC004707_1,0,0,0,1
AC004754_1,0,0,0,1
AC004771_1,0,0,0,1
AC004771_2,0,0,0,1
AC004771_3,0,0,0,1
AC004771_4,0,0,0,1
AC004771_5,0,0,0,1
AC004775_1,0,0,0,1
AC004777_1,0,0,0,1
AC004790_1,0,0,0,1
AC004790_2,0,0,0,1
AC004792_1,0,0,0,1
AC004801_1,0,0,0,1
AC004801_2,0,0,0,1
AC004801_3,0,0,0,1
AC004801_4,0,0,0,1
AC004801_5,0,0,0,1
AC004801_6,0,0,0,1
AC004801_7,0,0,0,1
AC004803_1,0,0,0,1
AC004805_1,0,0,0,1
AC004805_2,0,0,0,1
AC004805_3,0,0,0,1
AC004808_1,0,0,0,1
AC004808_2,0,0,0,1
AC004812_1,0,0,0,1
AC004812_2,0,0,0,1
AC004815_1,0,0,0,1
AC004816_1,0,0,0,1
AC004816_2,0,0,0,1
AC004817_1,0,0,0,1
AC004817_2,0,0,0,1
AC004817_3,0,0,0,1
AC004817_4,0,0,0,1
AC004824_1,0,0,0,1
AC004825_1,0,0,0,1
AC004825_2,0,0,0,1
AC004828_1,0,0,0,1
AC004830_1,0,0,0,1
AC004832_1,0,0,0,1
AC004832_2,0,0,0,1
AC004832_3,0,0,0,1
AC004832_4,0,0,0,1
AC004832_5,0,0,0,1
AC004832_6,0,0,0,1
AC004835_1,0,0,0,1
AC004835_2,0,0,0,1
AC004836_1,0,0,0,1
AC004837_1,0,0,0,1
AC004837_2,0,0,0,1
AC004837_3,0,0,0,1
AC004839_1,0,0,0,1
AC004840_1,0,0,0,1
AC004840_2,0,0,0,1
AC004846_1,0,0,0,1
AC004846_2,0,0,0,1
AC004847_1,0,0,0,1
AC004852_1,0,0,0,1
AC004852_2,0,0,0,1
AC004852_3,0,0,0,1
AC004853_1,0,0,0,1
AC004853_2,0,0,0,1
AC004854_1,0,0,0,1
AC004854_2,0,0,0,1
AC004858_1,0,0,0,1
AC004862_1,0,0,0,1
AC004865_1,0,0,0,1
AC004865_2,0,0,0,1
AC004866_1,0,0,0,1
AC004866_2,0,0,0,1
AC004869_1,0,0,0,1
AC004869_2,0,0,0,1
AC004870_1,0,0,0,1
AC004870_2,0,0,0,1
AC004870_3,0,0,0,1
AC004870_4,0,0,0,1
AC004872_1,0,0,0,1
AC004875_1,0,0,0,1
AC004877_1,0,0,0,1
AC004877_2,0,0,0,1
AC004882_1,0,0,0,1
AC004882_2,0,0,0,1
AC004884_1,0,0,0,1
AC004884_2,0,0,0,1
AC004888_1,0,0,0,1
AC004889_1,0,0,0,1
AC004890_1,0,0,0,1
AC004890_2,0,0,0,1
AC004890_3,0,0,0,1
AC004893_1,0,0,0,1
AC004893_2,0,0,0,1
AC004895_1,0,0,0,1
AC004898_1,0,0,0,1
AC004899_1,0,0,0,1
AC004899_2,0,0,0,1
AC004906_1,0,0,0,1
AC004908_1,0,0,0,1
AC004908_2,0,0,0,1
AC004908_3,0,0,0,1
AC004910_1,0,0,0,1
AC004911_1,0,0,0,1
AC004917_1,0,0,0,1
AC004918_1,0,0,0,1
AC004918_3,0,0,0,1
AC004920_1,0,0,0,1
AC004921_1,0,0,0,1
AC004923_1,0,0,0,1
AC004923_2,0,0,0,1
AC004923_3,0,0,0,1
AC004923_4,0,0,0,1
AC004924_1,0,0,0,1
AC004925_1,0,0,0,1
AC004930_1,0,0,0,1
AC004936_1,0,0,0,1
AC004938_1,0,0,0,1
AC004941_1,0,0,0,1
AC004941_2,0,0,0,1
AC004943_1,0,0,0,1
AC004943_2,0,0,0,1
AC004943_3,0,0,0,1
AC004944_1,0,0,0,1
AC004945_1,0,0,0,1
AC004946_1,0,0,0,1
AC004947_1,0,0,0,1
AC004947_2,0,0,0,1
AC004948_1,0,0,0,1
AC004951_1,0,0,0,1
AC004951_2,0,0,0,1
AC004951_3,0,0,0,1
AC004951_4,0,0,0,1
AC004965_1,0,0,0,1
AC004967_1,0,0,0,1
AC004969_1,0,0,0,1
AC004972_1,0,0,0,1
AC004973_1,0,0,0,1
AC004975_1,0,0,0,1
AC004975_2,0,0,0,1
AC004980_1,0,0,0,1
AC004980_2,0,0,0,1
AC004980_3,0,0,0,1
AC004980_4,0,0,0,1
AC004982_1,0,0,0,1
AC004982_2,0,0,0,1
AC004986_1,0,0,0,1
AC004987_1,0,0,0,1
AC004987_2,0,0,0,1
AC004987_3,0,0,0,1
AC004987_4,0,0,0,1
AC004988_1,0,0,0,1
AC004990_1,0,0,0,1
AC004994_1,0,0,0,1
AC004997_1,0,0,0,1
AC005000_1,0,0,0,1
AC005000_2,0,0,0,1
AC005002_1,0,0,0,1
AC005002_2,0,0,0,1
AC005005_1,0,0,0,1
AC005005_2,0,0,0,1
AC005005_3,0,0,0,1
AC005005_4,0,0,0,1
AC005006_1,0,0,0,1
AC005008_1,0,0,0,1
AC005008_2,0,0,0,1
AC005009_1,0,0,0,1
AC005009_2,0,0,0,1
AC005011_1,0,0,0,1
AC005013_1,0,0,0,1
AC005014_1,0,0,0,1
AC005014_2,0,0,0,1
AC005014_3,0,0,0,1
AC005017_1,0,0,0,1
AC005019_1,0,0,0,1
AC005019_2,0,0,0,1
AC005020_1,0,0,0,1
AC005020_2,0,0,0,1
AC005021_1,0,0,0,1
AC005033_1,0,0,0,1
AC005034_1,0,0,0,1
AC005034_2,0,0,0,1
AC005034_3,0,0,0,1
AC005034_4,0,0,0,1
AC005034_5,0,0,0,1
AC005035_1,0,0,0,1
AC005037_1,0,0,0,1
AC005040_1,0,0,0,1
AC005041_1,0,0,0,1
AC005041_2,0,0,0,1
AC005041_3,0,0,0,1
AC005042_1,0,0,0,1
AC005042_2,0,0,0,1
AC005042_3,0,0,0,1
AC005046_1,0,0,0,1
AC005050_1,0,0,0,1
AC005052_1,0,0,0,1
AC005056_1,0,0,0,1
AC005062_1,0,0,0,1
AC005064_1,0,0,0,1
AC005066_1,0,0,0,1
AC005070_1,0,0,0,1
AC005070_2,0,0,0,1
AC005070_3,0,0,0,1
AC005072_1,0,0,0,1
AC005076_1,0,0,0,1
AC005077_1,0,0,0,1
AC005077_2,0,0,0,1
AC005077_3,0,0,0,1
AC005077_4,0,0,0,1
AC005082_1,0,0,0,1
AC005083_1,0,0,0,1
AC005084_1,0,0,0,1
AC005086_1,0,0,0,1
AC005086_2,0,0,0,1
AC005086_3,0,0,0,1
AC005086_4,0,0,0,1
AC005088_1,0,0,0,1
AC005089_1,0,0,0,1
AC005090_1,0,0,0,1
AC005091_1,0,0,0,1
AC005094_1,0,0,0,1
AC005096_1,0,0,0,1
AC005099_1,0,0,0,1
AC005102_1,0,0,0,1
AC005104_1,0,0,0,1
AC005104_2,0,0,0,1
AC005105_1,0,0,0,1
AC005150_1,0,0,0,1
AC005154_1,0,0,0,1
AC005154_2,0,0,0,1
AC005154_3,0,0,0,1
AC005154_4,0,0,0,1
AC005154_5,0,0,0,1
AC005154_6,0,0,0,1
AC005156_1,0,0,0,1
AC005160_1,0,0,0,1
AC005162_1,0,0,0,1
AC005162_2,0,0,0,1
AC005162_3,0,0,0,1
AC005165_1,0,0,0,1
AC005165_2,0,0,0,1
AC005176_1,0,0,0,1
AC005176_2,0,0,0,1
AC005178_1,0,0,0,1
AC005180_1,0,0,0,1
AC005180_2,0,0,0,1
AC005181_1,0,0,0,1
AC005183_1,0,0,0,1
AC005185_1,0,0,0,1
AC005186_1,0,0,0,1
AC005189_1,0,0,0,1
AC005191_1,0,0,0,1
AC005197_1,0,0,0,1
AC005208_1,0,0,0,1
AC005209_1,0,0,0,1
AC005220_1,0,0,0,1
AC005224_1,0,0,0,1
AC005224_2,0,0,0,1
AC005224_3,0,0,0,1
AC005224_4,0,0,0,1
AC005225_1,0,0,0,1
AC005225_2,0,0,0,1
AC005225_3,0,0,0,1
AC005225_4,0,0,0,1
AC005225_5,0,0,0,1
AC005229_1,0,0,0,1
AC005229_2,0,0,0,1
AC005229_3,0,0,0,1
AC005229_4,0,0,0,1
AC005230_1,0,0,0,1
AC005234_1,0,0,0,1
AC005237_1,0,0,0,1
AC005237_2,0,0,0,1
AC005242_1,0,0,0,1
AC005244_1,0,0,0,1
AC005244_2,0,0,0,1
AC005252_1,0,0,0,1
AC005252_2,0,0,0,1
AC005252_3,0,0,0,1
AC005253_1,0,0,0,1
AC005253_2,0,0,0,1
AC005255_1,0,0,0,1
AC005256_1,0,0,0,1
AC005258_1,0,0,0,1
AC005261_1,0,0,0,1
AC005261_2,0,0,0,1
AC005261_3,0,0,0,1
AC005261_4,0,0,0,1
AC005261_5,0,0,0,1
AC005261_6,0,0,0,1
AC005262_1,0,0,0,1
AC005262_2,0,0,0,1
AC005264_1,0,0,0,1
AC005274_1,0,0,0,1
AC005277_1,0,0,0,1
AC005277_2,0,0,0,1
AC005280_1,0,0,0,1
AC005281_1,0,0,0,1
AC005288_1,0,0,0,1
AC005291_1,0,0,0,1
AC005291_2,0,0,0,1
AC005294_1,0,0,0,1
AC005296_1,0,0,0,1
AC005297_1,0,0,0,1
AC005297_2,0,0,0,1
AC005297_3,0,0,0,1
AC005300_1,0,0,0,1
AC005301_1,0,0,0,1
AC005303_1,0,0,0,1
AC005304_1,0,0,0,1
AC005304_2,0,0,0,1
AC005304_3,0,0,0,1
AC005306_1,0,0,0,1
AC005307_1,0,0,0,1
AC005323_1,0,0,0,1
AC005323_2,0,0,0,1
AC005324_1,0,0,0,1
AC005324_2,0,0,0,1
AC005324_3,0,0,0,1
AC005324_4,0,0,0,1
AC005324_5,0,0,0,1
AC005324_6,0,0,0,1
AC005326_1,0,0,0,1
AC005329_1,0,0,0,1
AC005329_2,0,0,0,1
AC005329_3,0,0,0,1
AC005330_1,0,0,0,1
AC005332_1,0,0,0,1
AC005332_10,0,0,0,1
AC005332_2,0,0,0,1
AC005332_3,0,0,0,1
AC005332_4,0,0,0,1
AC005332_5,0,0,0,1
AC005332_6,0,0,0,1
AC005332_7,0,0,0,1
AC005332_8,0,0,0,1
AC005332_9,0,0,0,1
AC005336_1,0,0,0,1
AC005336_2,0,0,0,1
AC005336_3,0,0,0,1
AC005339_1,0,0,0,1
AC005341_1,0,0,0,1
AC005342_1,0,0,0,1
AC005342_2,0,0,0,1
AC005344_1,0,0,0,1
AC005345_1,0,0,0,1
AC005351_1,0,0,0,1
AC005355_1,0,0,0,1
AC005355_2,0,0,0,1
AC005357_1,0,0,0,1
AC005357_2,0,0,0,1
AC005358_1,0,0,0,1
AC005358_2,0,0,0,1
AC005363_1,0,0,0,1
AC005363_2,0,0,0,1
AC005377_1,0,0,0,1
AC005379_1,0,0,0,1
AC005381_1,0,0,0,1
AC005383_1,0,0,0,1
AC005387_1,0,0,0,1
AC005387_2,0,0,0,1
AC005391_1,0,0,0,1
AC005392_1,0,0,0,1
AC005392_2,0,0,0,1
AC005392_3,0,0,0,1
AC005393_1,0,0,0,1
AC005394_1,0,0,0,1
AC005410_1,0,0,0,1
AC005410_2,0,0,0,1
AC005412_1,0,0,0,1
AC005412_2,0,0,0,1
AC005412_3,0,0,0,1
AC005476_1,0,0,0,1
AC005476_2,0,0,0,1
AC005479_1,0,0,0,1
AC005479_2,0,0,0,1
AC005479_3,0,0,0,1
AC005480_1,0,0,0,1
AC005480_2,0,0,0,1
AC005481_1,0,0,0,1
AC005482_1,0,0,0,1
AC005486_1,0,0,0,1
AC005487_1,0,0,0,1
